OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
6206,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442010,Landscape Maintenance Services,27
6207,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,5826
6208,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,160
6209,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,279
6210,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452020,Property Insurance Premiums,957
6211,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,-1331
6212,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,100
6213,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,1331
6214,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481020,Refunds And Reimbursements,320
6215,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Energy and Fuel,E_462010,Utilities Exp,2323
6216,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,44
6217,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,30
6218,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461070,Safety Equipment,118
6219,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001331,Surface Lot D,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503080,In Lieu Franchise Tax Tsf-DR,18800
6220,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,30
6221,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371510,Parking Fees,103546
6222,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,2146
6223,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,4500
6224,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442010,Landscape Maintenance Services,45
6225,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,5362
6226,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,264
6227,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452020,Property Insurance Premiums,1575
6228,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,-2189
6229,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,100
6230,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,2189
6231,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481020,Refunds And Reimbursements,850
6232,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,72
6233,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,50
6234,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461070,Safety Equipment,195
6235,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,458
6236,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001351,Surface Lot X,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503080,In Lieu Franchise Tax Tsf-DR,10400
6237,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,30
6238,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371510,Parking Fees,25503
6239,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,1008
6240,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,1300
6241,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442010,Landscape Maintenance Services,110
6242,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,3110
6243,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,1027
6244,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,124
6245,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452020,Property Insurance Premiums,739
6246,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,-1027
6247,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,75
6248,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481020,Refunds And Reimbursements,450
6249,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Energy and Fuel,E_462010,Utilities Exp,1212
6250,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,34
6251,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,25
6252,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461070,Safety Equipment,92
6253,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,215
6254,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001361,Surface Lot Y,Fund Total,Enterprise Funds,Parking,F_6004,Parking Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503080,In Lieu Franchise Tax Tsf-DR,2600
6255,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461100,Electrical Supplies,100
6256,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458040,Other Travel Expenses,600
6257,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458030,Lodging,1000
6258,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,4000
6259,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,21636
6260,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,4800
6261,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434030,Security Services,200
6262,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,600
6263,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,1545
6264,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,203887
6265,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
6266,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,Licenses and Permits,Licenses & Permits,R_322290,Alley Parking Permit,7000
6267,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,Licenses and Permits,Licenses & Permits,R_322250,Emergency Permits,7000
6268,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,3767
6269,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,2956
6270,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,12641
6271,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413280,Automobile Allowance,3600
6272,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,11469
6273,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,7003
6274,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,29398
6275,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443050,Computer Software Maintenance,2500
6276,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458020,Meals,200
6277,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458010,Transportation,2600
6278,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_454010,Personnel Recruitment Advertis,100
6279,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453030,Communication Lines,2000
6280,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,800
6281,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455020,Blueprint And Photo,1000
6282,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,3300
6283,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453010,Telephone,7500
6284,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_444020,Rental Of Equipment,3600
6285,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_15000,Public Works,Current Departments,Public Works Departments,Parking Services Division,D_15001511,On-Street Parking Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund SerProvided,E_501010,Central Services Mail Charges,6000
